27.80%,1.72%
25.08%,3.32%
24.47%,4.95%
24.26%,6.57%
25.59%,8.18%
22.82%,9.85%
24.22%,11.47%
24.06%,13.09%
24.03%,14.71%
26.74%,16.30%
24.11%,17.92%
24.05%,19.55%
24.06%,21.17%
24.04%,22.79%
33.23%,24.23%
50.27%,25.35%
47.66%,26.52%
40.83%,27.88%
38.52%,29.26%
44.37%,30.53%
33.10%,32.13%
44.37%,33.39%
43.99%,34.66%
46.69%,35.86%
44.25%,37.13%
34.18%,38.67%
45.09%,39.90%
47.27%,41.10%
33.85%,42.64%
49.24%,43.77%
50.04%,44.87%
50.50%,45.96%
50.59%,47.05%
50.61%,48.15%
26.10%,1.69%
24.95%,3.31%
24.32%,4.96%
24.29%,6.58%
25.91%,8.18%
24.20%,9.80%
24.34%,11.42%
23.18%,13.08%
24.10%,14.70%
26.44%,16.30%
24.44%,17.92%
24.43%,19.55%
24.48%,21.16%
24.37%,22.78%
30.44%,24.30%
46.10%,25.51%
38.03%,26.95%
38.63%,28.38%
41.84%,29.76%
39.18%,31.19%
49.14%,32.34%
47.18%,33.53%
51.91%,34.56%
52.17%,35.59%
52.17%,36.62%
38.38%,38.08%
35.86%,39.55%
34.56%,41.06%
41.53%,42.44%
42.29%,43.82%
42.30%,45.20%
44.83%,46.49%
50.56%,47.59%
52.03%,48.62%
27.10%,1.68%
24.63%,3.30%
25.11%,4.92%
24.11%,6.54%
25.70%,8.14%
23.62%,9.79%
24.10%,11.41%
24.48%,13.03%
24.36%,14.65%
26.99%,16.23%
24.14%,17.86%
24.01%,19.48%
24.06%,21.11%
24.03%,22.73%
29.82%,24.26%
49.20%,25.37%
38.32%,26.80%
35.26%,28.31%
36.56%,29.78%
39.53%,31.18%
39.30%,32.58%
50.68%,33.67%
50.75%,34.77%
50.72%,35.86%
50.69%,36.96%
50.60%,38.06%
50.66%,39.16%
50.29%,40.26%
48.63%,41.40%
47.25%,42.60%
50.67%,43.67%
52.19%,44.70%
51.10%,45.78%
48.38%,46.91%
27.24%,1.67%
24.57%,3.29%
25.52%,4.90%
24.56%,6.52%
25.92%,8.12%
24.35%,9.74%
24.25%,11.36%
24.19%,12.98%
24.20%,14.60%
26.45%,16.19%
24.13%,17.82%
24.03%,19.44%
23.12%,21.10%
23.99%,22.73%
29.66%,24.26%
49.71%,25.38%
43.20%,26.73%
39.38%,28.18%
44.38%,29.46%
45.30%,30.70%
43.84%,31.98%
46.01%,33.23%
49.28%,34.37%
50.66%,35.46%
51.21%,36.53%
33.53%,38.10%
26.93%,39.85%
26.95%,41.60%
40.24%,42.96%
44.06%,44.22%
49.79%,45.32%
48.38%,46.45%
51.59%,47.52%
52.17%,48.55%
26.44%,1.68%
24.84%,3.30%
25.13%,4.91%
24.30%,6.53%
25.76%,8.14%
24.39%,9.76%
24.33%,11.37%
24.46%,12.99%
24.37%,14.61%
26.55%,16.20%
24.39%,17.83%
24.25%,19.45%
24.26%,21.07%
24.39%,22.69%
30.60%,24.19%
49.77%,25.32%
49.02%,26.46%
50.23%,27.56%
49.60%,28.68%
48.99%,29.81%
37.41%,31.28%
45.02%,32.54%
49.87%,33.64%
52.23%,34.67%
52.26%,35.70%
53.46%,36.69%
48.43%,37.86%
50.66%,38.95%
50.66%,40.04%
49.79%,41.17%
47.28%,42.36%
42.77%,43.70%
42.21%,45.08%
49.02%,46.19%
29.04%,1.72%
24.58%,3.34%
24.82%,4.95%
24.46%,6.57%
25.72%,8.18%
24.23%,9.80%
24.46%,11.42%
24.45%,13.03%
24.30%,14.66%
26.73%,16.24%
24.37%,17.86%
24.28%,19.48%
24.29%,21.11%
24.06%,22.73%
29.82%,24.25%
39.17%,25.62%
51.63%,26.66%
50.19%,27.75%
50.57%,28.84%
51.94%,29.89%
44.15%,31.18%
52.23%,32.22%
49.27%,33.33%
48.36%,34.46%
51.07%,35.54%
50.52%,36.63%
32.44%,38.22%
44.65%,39.47%
50.57%,40.56%
50.65%,41.65%
49.21%,42.76%
49.62%,43.88%
50.49%,44.97%
50.61%,46.05%
28.66%,1.70%
25.00%,3.30%
25.30%,4.91%
24.43%,6.53%
25.72%,8.14%
24.40%,9.76%
24.34%,11.38%
23.57%,13.03%
24.31%,14.65%
26.58%,16.24%
24.49%,17.85%
24.49%,19.47%
24.48%,21.09%
24.51%,22.71%
29.70%,24.24%
39.22%,25.60%
47.53%,26.75%
48.91%,27.89%
52.12%,28.92%
52.23%,29.95%
37.28%,31.40%
49.93%,32.51%
50.65%,33.60%
50.63%,34.70%
50.63%,35.79%
49.89%,36.91%
47.24%,38.11%
49.05%,39.22%
48.40%,40.35%
48.42%,41.49%
49.77%,42.59%
48.45%,43.73%
51.29%,44.80%
50.73%,45.89%
26.77%,1.68%
25.01%,3.29%
25.95%,4.89%
24.14%,6.51%
26.26%,8.10%
24.35%,9.72%
24.32%,11.34%
23.63%,12.98%
24.36%,14.60%
26.52%,16.18%
24.44%,17.80%
24.14%,19.43%
24.11%,21.05%
24.19%,22.67%
29.26%,24.21%
39.22%,25.57%
51.90%,26.61%
47.15%,27.78%
50.11%,28.88%
51.29%,29.95%
46.45%,31.16%
47.31%,32.35%
47.26%,33.54%
52.01%,34.57%
51.07%,35.63%
51.51%,36.70%
35.11%,38.22%
50.57%,39.31%
50.46%,40.40%
48.06%,41.57%
47.26%,42.76%
52.03%,43.79%
53.09%,44.80%
51.09%,45.87%
25.39%,1.71%
24.87%,3.33%
25.22%,4.94%
24.47%,6.56%
25.99%,8.16%
24.23%,9.78%
24.39%,11.39%
24.18%,13.02%
24.16%,14.65%
25.31%,16.26%
24.20%,17.89%
24.24%,19.51%
24.43%,21.13%
24.23%,22.75%
30.03%,24.27%
46.27%,25.45%
47.41%,26.62%
47.36%,27.79%
52.07%,28.82%
52.03%,29.84%
44.08%,31.11%
49.32%,32.22%
51.92%,33.26%
52.21%,34.29%
52.25%,35.31%
52.25%,36.34%
50.52%,37.44%
47.98%,38.60%
48.27%,39.76%
49.07%,40.88%
47.89%,42.02%
43.78%,43.28%
43.84%,44.55%
43.80%,45.81%
26.56%,1.69%
25.09%,3.30%
25.36%,4.91%
24.21%,6.54%
25.70%,8.14%
24.14%,9.77%
24.28%,11.39%
24.44%,13.01%
23.86%,14.65%
26.79%,16.22%
24.50%,17.84%
24.54%,19.46%
24.38%,21.08%
24.09%,22.71%
29.60%,24.23%
45.76%,25.46%
52.36%,26.49%
44.19%,27.76%
40.26%,29.12%
49.11%,30.24%
28.94%,31.92%
32.07%,33.49%
48.83%,34.62%
51.49%,35.69%
51.62%,36.77%
50.82%,37.84%
52.27%,38.86%
52.19%,39.89%
52.97%,40.91%
48.70%,42.05%
51.73%,43.09%
27.06%,44.83%
41.83%,46.12%
50.07%,47.22%
